transcription,action,object,location
Turn on the kitchen lights,activate,lights,kitchen
Turn up the temperature,increase,heat,none
OK now switch the main language to Chinese,change language,Chinese,none
Turn down the bathroom temperature,decrease,heat,washroom
Change the language,change language,none,none
Turn sound down,decrease,volume,none
Decrease the heating in the washroom,decrease,heat,washroom
"It’s too loud, turn it down",decrease,volume,none
Change language,change language,none,none
Turn the lights on in the kitchen,activate,lights,kitchen
Decrease the heating in the bedroom,decrease,heat,bedroom
Turn up the heat in the washroom,increase,heat,washroom
Decrease the heating in the bedroom,decrease,heat,bedroom
Turn the bedroom heat up,increase,heat,bedroom
Increase the temperature,increase,heat,none
Increase the heating in the washroom,increase,heat,washroom
Turn down the washroom temperature,decrease,heat,washroom
Turn the temperature down in the bathroom,decrease,heat,washroom
Turn the temperature down in the washroom,decrease,heat,washroom
Set the language,change language,none,none
Heat down,decrease,heat,none
I need to practice my English. Switch the language,change language,English,none
"I need to hear this, increase the volume",increase,volume,none
OK now switch the main language to Chinese,change language,Chinese,none
Turn the lamp off,deactivate,lamp,none
Bedroom heat up,increase,heat,bedroom
Bring me my shoes,bring,shoes,none
Decrease the temperature in the bathroom,decrease,heat,washroom
Turn the volume up,increase,volume,none
Get me the newspaper,bring,newspaper,none
I can't hear that,increase,volume,none
Set language to Chinese,change language,Chinese,none
Fetch my socks,bring,socks,none
Washroom heat up,increase,heat,washroom
Switch on the kitchen lights,activate,lights,kitchen
Turn the lamp off,deactivate,lamp,none
Kitchen lights off,deactivate,lights,kitchen
Change system language,change language,none,none
Turn down the heat in the bathroom,decrease,heat,washroom
Switch the bedroom lights on,activate,lights,bedroom
Lights off in the kitchen,deactivate,lights,kitchen
Increase the heating,increase,heat,none
Turn the lights off in the kitchen,deactivate,lights,kitchen
Decrease the temperature in the washroom,decrease,heat,washroom
Lights on in the bathroom,activate,lights,washroom
Bring socks,bring,socks,none
Make the music louder,increase,volume,none
"It’s too loud, turn it down",decrease,volume,none
"I need to hear this, increase the volume",increase,volume,none
Make the music louder,increase,volume,none
Bring shoes,bring,shoes,none
Switch off the washroom lights,deactivate,lights,washroom
Turn the bedroom heat up,increase,heat,bedroom
Louder phone,increase,volume,none
Switch off the lights in the kitchen,deactivate,lights,kitchen
"It’s too loud, turn the volume down",decrease,volume,none
Make it louder,increase,volume,none
Lights on in the bathroom,activate,lights,washroom
Turn up the heat in the washroom,increase,heat,washroom
Change language,change language,none,none
Turn off the lights,deactivate,lights,none
Louder,increase,volume,none
Change the language,change language,none,none
Switch the language,change language,none,none
Turn off the music,deactivate,music,none
Turn sound down,decrease,volume,none
Bring the newspaper,bring,newspaper,none
Turn up the temperature in the kitchen,increase,heat,kitchen
Turn the kitchen temperature up,increase,heat,kitchen
Kitchen lights off,deactivate,lights,kitchen
Turn down the heat in the bathroom,decrease,heat,washroom
Turn the temperature down,decrease,heat,none
Get me my shoes,bring,shoes,none
Go get me my shoes,bring,shoes,none
Bring the newspaper,bring,newspaper,none
Switch the lights off in the kitchen,deactivate,lights,kitchen
Turn the lights on,activate,lights,none
Turn off the music,deactivate,music,none
Lights off in the washroom,deactivate,lights,washroom
Turn down the temperature in the bedroom,decrease,heat,bedroom
"It’s too loud, turn the volume down",decrease,volume,none
Volume lower,decrease,volume,none
Increase the heating in the bathroom,increase,heat,washroom
Turn on the bathroom lights,activate,lights,washroom
Decrease the temperature in the kitchen,decrease,heat,kitchen
Increase the heating in the bathroom,increase,heat,washroom
Switch off the lamp,deactivate,lamp,none
Turn the lights on,activate,lights,none
Decrease the temperature in the washroom,decrease,heat,washroom
OK now switch the main language to English,change language,English,none
Bathroom lights on,activate,lights,washroom
Could you decrease the heating?,decrease,heat,none
Kitchen heat up,increase,heat,kitchen
I need to practice my Korean. Switch the language,change language,Korean,none
Set language to Korean,change language,Korean,none
Turn on the washroom lights,activate,lights,washroom
Turn the heat up,increase,heat,none
Washroom lights on,activate,lights,washroom
Switch off the washroom lights,deactivate,lights,washroom
Go get me my socks,bring,socks,none
Switch on the kitchen lights,activate,lights,kitchen
Turn sound down,decrease,volume,none
Turn the bedroom heat down,decrease,heat,bedroom
Far too loud,decrease,volume,none
Volume max,increase,volume,none
Turn down the heat,decrease,heat,none
Turn the temperature up in the bathroom,increase,heat,washroom
Decrease the volume,decrease,volume,none
Louder phone,increase,volume,none
Turn up the washroom temperature,increase,heat,washroom
Bring me some juice,bring,juice,none
Decrease the temperature in the washroom,decrease,heat,washroom
Decrease the heating in the bathroom,decrease,heat,washroom
Turn volume down,decrease,volume,none
Less heat,decrease,heat,none
Switch on the lights,activate,lights,none
Switch on the lights in the kitchen,activate,lights,kitchen
Get me some juice,bring,juice,none
Could you increase the heating please?,increase,heat,none
"It’s too loud, turn the volume down",decrease,volume,none
Turn the bathroom lights on,activate,lights,washroom
Turn the temperature down in the washroom,decrease,heat,washroom
Set my device to Chinese,change language,Chinese,none
Heat down,decrease,heat,none
Increase the heating in the kitchen,increase,heat,kitchen
Heat up,increase,heat,none
Switch on the lights,activate,lights,none
Turn up the temperature in the kitchen,increase,heat,kitchen
Bedroom lights off,deactivate,lights,bedroom
Decrease the heating in the kitchen,decrease,heat,kitchen
Turn the sound up,increase,volume,none
Put on the music,activate,music,none
Turn up the temperature in the bedroom,increase,heat,bedroom
Decrease the temperature,decrease,heat,none
I need to practice my Chinese. Switch the language,change language,Chinese,none
Increase the heating in the washroom,increase,heat,washroom
Switch off the lamp,deactivate,lamp,none
Volume lower,decrease,volume,none
Volume down,decrease,volume,none
Turn the bedroom heat up,increase,heat,bedroom
Switch the lights off in the kitchen,deactivate,lights,kitchen
Lights on in the bedroom,activate,lights,bedroom
Turn the kitchen temperature down,decrease,heat,kitchen
Switch the kitchen lights on,activate,lights,kitchen
Change the language,change language,none,none
Turn down the heat in the kitchen,decrease,heat,kitchen
Far too loud,decrease,volume,none
Turn the kitchen temperature up,increase,heat,kitchen
Turn the volume up,increase,volume,none
Increase the heating,increase,heat,none
I can't hear that,increase,volume,none
Bring shoes,bring,shoes,none
Kitchen heat down,decrease,heat,kitchen
Switch off the lamp,deactivate,lamp,none
Washroom heat up,increase,heat,washroom
Washroom lights on,activate,lights,washroom
Bring juice,bring,juice,none
Set the language,change language,none,none
Increase the volume,increase,volume,none
Lights on in the kitchen,activate,lights,kitchen
Turn the temperature down in the washroom,decrease,heat,washroom
Turn down the heat in the bathroom,decrease,heat,washroom
Kitchen lights off,deactivate,lights,kitchen
Bedroom lights off,deactivate,lights,bedroom
Switch the lights on,activate,lights,none
Turn off the lights in the bedroom,deactivate,lights,bedroom
Increase the heating in the bedroom,increase,heat,bedroom
Decrease the temperature in the kitchen,decrease,heat,kitchen
Kitchen lights on,activate,lights,kitchen
Turn down the heat in the kitchen,decrease,heat,kitchen
Get me some juice,bring,juice,none
Turn on the lamp,activate,lamp,none
Bathroom lights on,activate,lights,washroom
Turn the volume up,increase,volume,none
Switch off the lights,deactivate,lights,none
Turn on the kitchen lights,activate,lights,kitchen
"This video sound is too low, turn up the volume",increase,volume,none
Switch on the bathroom lights,activate,lights,washroom
Play music,activate,music,none
Switch on the kitchen lights,activate,lights,kitchen
Turn the heat down in the kitchen,decrease,heat,kitchen
Go get me my shoes,bring,shoes,none
Turn the volume down,decrease,volume,none
Kitchen lights off,deactivate,lights,kitchen
Decrease the volume,decrease,volume,none
I need to practice my English. Switch the language,change language,English,none
Turn volume down,decrease,volume,none
Decrease the temperature in the kitchen,decrease,heat,kitchen
Turn the bedroom heat down,decrease,heat,bedroom
Decrease audio volume,decrease,volume,none
Turn the heat down in the washroom,decrease,heat,washroom
Make it quieter,decrease,volume,none
Switch the language,change language,none,none
Could you increase the heating please?,increase,heat,none
Change system language,change language,none,none
Turn the bedroom heat down,decrease,heat,bedroom
Increase the volume,increase,volume,none
Could you decrease the heating?,decrease,heat,none
Turn volume up,increase,volume,none
Turn up the washroom temperature,increase,heat,washroom
Switch off the lights,deactivate,lights,none
Increase the temperature in the washroom,increase,heat,washroom
Get me my shoes,bring,shoes,none
Switch languages,change language,none,none
Switch languages,change language,none,none
Turn the temperature in the bedroom down,decrease,heat,bedroom
Far too quiet,increase,volume,none
Increase the sound,increase,volume,none
Far too loud,decrease,volume,none
